"plate_id","row","column","bug","condition","conc"
1,"a",1,"CTRL","CTRL",0
1,"a",2,"crispatus","CTRL",0
1,"a",3,"crispatus","CTRL",0
1,"a",4,"crispatus","CTRL",0
1,"a",5,"jensenii","CTRL",0
1,"a",6,"jensenii","CTRL",0
1,"a",7,"jensenii","CTRL",0
1,"a",8,"iners","CTRL",0
1,"a",9,"iners","CTRL",0
1,"a",10,"iners","CTRL",0
1,"a",11,"CTRL","CTRL",0
1,"a",12,"CTRL","CTRL",0
1,"b",1,"CTRL","OA",400
1,"b",2,"crispatus","OA",400
1,"b",3,"crispatus","OA",400
1,"b",4,"crispatus","OA",400
1,"b",5,"jensenii","OA",400
1,"b",6,"jensenii","OA",400
1,"b",7,"jensenii","OA",400
1,"b",8,"iners","OA",400
1,"b",9,"iners","OA",400
1,"b",10,"iners","OA",400
1,"b",11,"CTRL","OA",400
1,"b",12,"CTRL","OA",400
1,"c",1,"CTRL","OA",200
1,"c",2,"crispatus","OA",200
1,"c",3,"crispatus","OA",200
1,"c",4,"crispatus","OA",200
1,"c",5,"jensenii","OA",200
1,"c",6,"jensenii","OA",200
1,"c",7,"jensenii","OA",200
1,"c",8,"iners","OA",200
1,"c",9,"iners","OA",200
1,"c",10,"iners","OA",200
1,"c",11,"CTRL","OA",200
1,"c",12,"CTRL","OA",200
1,"d",1,"CTRL","OA",100
1,"d",2,"crispatus","OA",100
1,"d",3,"crispatus","OA",100
1,"d",4,"crispatus","OA",100
1,"d",5,"jensenii","OA",100
1,"d",6,"jensenii","OA",100
1,"d",7,"jensenii","OA",100
1,"d",8,"iners","OA",100
1,"d",9,"iners","OA",100
1,"d",10,"iners","OA",100
1,"d",11,"CTRL","OA",100
1,"d",12,"CTRL","OA",100
1,"e",1,"CTRL","OA",50
1,"e",2,"crispatus","OA",50
1,"e",3,"crispatus","OA",50
1,"e",4,"crispatus","OA",50
1,"e",5,"jensenii","OA",50
1,"e",6,"jensenii","OA",50
1,"e",7,"jensenii","OA",50
1,"e",8,"iners","OA",50
1,"e",9,"iners","OA",50
1,"e",10,"iners","OA",50
1,"e",11,"CTRL","OA",50
1,"e",12,"CTRL","OA",50
1,"f",1,"CTRL","VCA",400
1,"f",2,"crispatus","VCA",400
1,"f",3,"crispatus","VCA",400
1,"f",4,"crispatus","VCA",400
1,"f",5,"jensenii","VCA",400
1,"f",6,"jensenii","VCA",400
1,"f",7,"jensenii","VCA",400
1,"f",8,"iners","VCA",400
1,"f",9,"iners","VCA",400
1,"f",10,"iners","VCA",400
1,"f",11,"CTRL","VCA",400
1,"f",12,"CTRL","VCA",400
1,"g",1,"CTRL","VCA",200
1,"g",2,"crispatus","VCA",200
1,"g",3,"crispatus","VCA",200
1,"g",4,"crispatus","VCA",200
1,"g",5,"jensenii","VCA",200
1,"g",6,"jensenii","VCA",200
1,"g",7,"jensenii","VCA",200
1,"g",8,"iners","VCA",200
1,"g",9,"iners","VCA",200
1,"g",10,"iners","VCA",200
1,"g",11,"CTRL","VCA",200
1,"g",12,"CTRL","VCA",200
