sample_id,lactobacillus_iners,lactobacillus_crispatus,gardnerella_swidsinskii_leopoldii,lactobacillus_jensenii,candidatus_lachnocurva_vaginae_bvab1,gardnerella_vaginalis,fannyhessea_vaginae,megasphaera_lornae,sneathia_amnii,prevotella_amnii,prevotella_timonensis,prevotella_disiens,prevotella_sp_1,gardnerella_piotii,prevotella_bivia,lactobacillus_hominis,bvab2_bvab2,streptococcus_agalactiae,sneathia_sanguinegens,dialister_sp_dnf00626,megasphaera_hutchinsoni,aerococcus_christensenii,prevotella_sp_s7_1_8,gemella_asaccharolytica,parvimonas_sp_ka00581,coriobacteriaceae_sp_dnf00809,peptoniphilus_lacrimalis,mobiluncus_mulieris,prevotella_sp_2,porphyromonas_uenonis,finegoldia_magna,mageeibacillus_indolicus,peptostreptococcus_anaerobius,dialister_micraerophilus,prevotella_ihumii,prevotella_melaninogenica,veillonella_montpellierensis,prevotella_oris,prevotella_buccalis,mycoplasma_hominis,fusobacterium_equinum,lactobacillus_coleohominis,prevotella_sp_dnf00663,mobiluncus_curtisii,actinomyces_neuii,prevotella_colorans,peptostreptococcus_stomatis,prevotella_corporis,porphyromonadaceae_sp_dnf00129,fenollaria_massiliensis,peptoniphilus_coxii,prevotella_intermedia,dialister_propionicifaciens,porphyromonas_sp_ka00251,actinomyces_hongkongensis,corynebacterium_tuberculostearicum,lactobacillus_fermentum,veillonella_dispar,porphyromonas_asaccharolytica,fusobacterium_nucleatum,peptococcus_niger,atopobium_minutum,saccharibacteria_genomosp_tm7_h1,anaerococcus_lactolyticus,clostridiales_sp_dnf00545,lawsonella_clevelandensis,pasteurella_bettyae,actinotignum_schaalii,bifidobacterium_bifidum,corynebacterium_aurimucosum,campylobacter_ureolyticus,peptoniphilus_massiliensis,anaerococcus_obesiensis,corynebacterium_pyruviciproducens,anaerococcus_vaginalis,megasphaera_vaginalis,schaalia_turicensis,streptococcus_dysgalactiae,prevotella_bergensis,peptoniphilus_duerdenii,lactobacillus_salivarius,corynebacterium_pseudogenitalium,anaerococcus_hydrogenalis,criibacterium_bergeronii,prevotella_nigrescens,megasphaera_elsdenii,corynebacterium_riegelii,sutterella_morbirenis,prevotella_copri,corynebacterium_glucuronolyticum,porphyromonas_bennonis,atopobium_deltae,olegusella_massiliensis,granulicatella_elegans,slackia_exigua,sutterella_stercoricanis,actinomyces_urogenitalis,pseudoglutamicibacter_cumminsii,collinsella_aerofaciens,campylobacter_hominis,corynebacterium_tuscaniense,lancefieldella_parvula,corynebacterium_genitalium,corynebacterium_jeikeium,aggregatibacter_aphrophilus,dialister_pneumosintes,lactobacillus_gasseri,haemophilus_parainfluenzae,schaalia_odontolytica,facklamia_ignava,metaprevotella_massiliensis,casaltella_massiliensis,oligella_urethralis,lactobacillus_ruminis,pseudoramibacter_alactolyticus,nosocomiicoccus_massiliensis,chlamydia_trachomatis,moryella_indoligenes,solobacterium_moorei,bacteroides_vulgatus,tissierellales_sp_ka00134,brevibacterium_paucivorans,prevotella_oralis,negativicoccus_succinicivorans,corynebacterium_atypicum,actinomyces_europaeus,anaerococcus_provencensis,anaeroglobus_geminatus,rarimicrobium_hominis,ruminococcus_gnavus,prevotella_nanceiensis,blautia_obeum,anaerococcus_octavius,granulicatella_adiacens,dialister_invisus,corynebacterium_urealyticum,fastidiosipila_sanguinis,gemmiger_formicilis,ruminococcus_bicirculans,dermabacter_vaginalis,phascolarctobacterium_succinatutens,dorea_longicatena,faecalibacterium_prausnitzii,peptoniphilus_obesi,bacteroides_fragilis,catenibacterium_mitsuokai,trueperella_bernardiae,parabacteroides_merdae,ruminococcus_torques,congobacterium_massiliense,alistipes_shahii,jonquetella_anthropi,massiliprevotella_massiliensis,haematobacter_massiliensis,brevibacterium_luteolum,parasutterella_excrementihominis,coprococcus_catus,fusicatenibacter_saccharivorans,flavonifractor_plautii,moraxella_osloensis,anaerococcus_prevotii,prevotella_sp_ka00344,weeksella_virosa,bacteroides_massiliensis,coprococcus_comes,bacteroides_coprocola,bacteroides_caccae,porphyromonas_somerae,dorea_formicigenerans,akkermansia_muciniphila,anaerostipes_hadrus,helcococcus_seattlensis,holdemanella_biformis,lactobacillus_kalixensis,roseburia_faecis,parvimonas_micra,senegalimassilia_anaerobia,lancefieldella_rimae,treponema_socranskii,blautia_faecis,veillonella_parvula,clostridium_perfringens,parabacteroides_goldsteinii,parabacteroides_distasonis,clostridium_colicanis,mycoplasma_spermatophilum,peptoanaerobacter_stomatis,leptotrichia_buccalis,phascolarctobacterium_faecium,dysosmobacter_welbionis,ruminococcus_bromii,helcococcus_sueciensis,ruminococcus_callidus,ruminococcus_faecis,lachnoclostridium_edouardi,alistipes_putredinis,marseillibacter_massiliensis,actinomyces_nasicola,alistipes_obesi,roseburia_inulinivorans,acinetobacter_lwoffii,turicibacter_sanguinis,clostridium_xl_va_scindens,hathewaya_histolyticum,corynebacterium_glaucum,clostridium_xl_va_symbiosum,mycoplasma_genitalium,corynebacterium_matruchotii,megasphaera_hexanoica,kingella_oralis,prevotella_pallens,prevotella_veroralis,stenotrophomonas_maltophilia,megamonas_funiformis,skermanella_aerolata,capnocytophaga_leadbetteri,methylobacterium_radiotolerans,dermacoccus_nishinomiyaensis,leptotrichia_shahii,lautropia_mirabilis
P001_week_18,111,43,248,0,10,2885,60,15,0,23,152,327,13,0,8311,0,0,0,13,46,0,0,0,0,3,0,74,0,0,7,2342,0,1105,72,0,0,0,0,243,0,0,0,0,54,0,151,0,0,15,43,0,0,104,2,0,17,0,0,0,0,0,108,0,0,13,9,0,35,0,51,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,6,0,4,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P001_week_24,63094,159,34,31,0,229,5,0,7,0,262,4,4,0,108,0,6,0,0,12,0,97,0,0,0,0,108,0,0,39,332,0,0,0,0,0,0,0,59,0,0,0,0,15,10,199,0,94,0,289,16,0,35,0,0,141,0,0,0,0,28,4,0,0,0,6,0,0,0,276,16,102,0,4,0,0,6,0,4,16,0,0,0,0,0,0,79,0,0,0,168,0,9,0,0,0,0,4,0,4,17,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P001_week_34,41875,81,0,0,10,162,2,0,0,0,9,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P002_week_18,229,49,13155,0,729,1269,10717,3213,0,8,224,202,0,1172,3823,0,512,0,0,857,0,707,0,302,0,561,0,0,0,0,5,0,0,140,30,0,0,0,84,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P002_week_24,252,74,17176,0,8,188,6493,1244,1123,6,6,0,2907,0,10,0,1416,0,0,349,0,227,5,50,41,407,3,0,0,15,0,0,4,73,0,0,0,0,6,0,0,0,0,101,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P002_week_34,169,43,11417,0,10,490,7165,2480,4439,0,21,6,6174,154,50,0,3442,0,0,776,0,156,13,156,337,400,6,0,0,31,18,0,4,118,0,0,0,0,38,0,0,0,0,220,0,0,0,54,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,2,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P003_week_18,27085,142,1389,0,22,1159,13,3,17,7,0,0,0,2000,0,45,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P003_week_24,121,158,7312,7,7,4487,5116,4143,725,0,1887,232,0,193,5835,0,2711,0,0,44,0,10,105,0,0,112,51,0,0,575,0,0,291,122,0,0,0,0,56,0,0,0,0,0,0,237,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,42,0,0,0,23,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P003_week_34,60,38,10301,7,0,355,7345,1993,245,16183,2241,0,0,1043,10,0,3121,0,1010,785,0,62,0,221,418,691,112,0,0,18,10,123,2,131,0,0,0,0,0,0,0,0,12,81,0,43,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P004_week_18,62,8858,6,2170,0,0,0,0,0,0,20,0,0,0,0,10138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,29,0,16,0,0,3,0,0,131,0,0,87,0,0,0,0,0,8,0,0,0,0,40,0,239,0,0,0,0,0,0,51,0,0,0,0,15,0,0,0,307,0,0,0,0,0,0,0,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
