"od","plate_id","row","column"
0.116,3,"a",1
0.122,3,"a",2
0.122,3,"a",3
0.12,3,"a",4
0.126,3,"a",5
0.127,3,"a",6
0.129,3,"a",7
0.231,3,"a",8
0.256,3,"a",9
0.254,3,"a",10
0.117,3,"a",11
0.115,3,"a",12
0.12,3,"b",1
0.747,3,"b",2
0.769,3,"b",3
0.75,3,"b",4
0.133,3,"b",5
0.133,3,"b",6
0.652,3,"b",7
0.155,3,"b",8
0.136,3,"b",9
0.132,3,"b",10
0.121,3,"b",11
0.123,3,"b",12
0.12,3,"c",1
0.631,3,"c",2
0.607,3,"c",3
0.624,3,"c",4
0.138,3,"c",5
0.132,3,"c",6
0.133,3,"c",7
0.127,3,"c",8
0.13,3,"c",9
0.145,3,"c",10
0.343,3,"c",11
0.121,3,"c",12
0.118,3,"d",1
0.43,3,"d",2
0.424,3,"d",3
0.496,3,"d",4
0.132,3,"d",5
0.13,3,"d",6
0.129,3,"d",7
0.126,3,"d",8
0.125,3,"d",9
0.126,3,"d",10
0.118,3,"d",11
0.116,3,"d",12
0.118,3,"e",1
0.255,3,"e",2
0.245,3,"e",3
0.242,3,"e",4
0.132,3,"e",5
0.128,3,"e",6
0.128,3,"e",7
0.13,3,"e",8
0.137,3,"e",9
0.128,3,"e",10
0.118,3,"e",11
0.117,3,"e",12
0.124,3,"f",1
0.908,3,"f",2
0.924,3,"f",3
0.867,3,"f",4
0.138,3,"f",5
0.138,3,"f",6
0.139,3,"f",7
0.133,3,"f",8
0.139,3,"f",9
0.134,3,"f",10
0.126,3,"f",11
0.126,3,"f",12
0.121,3,"g",1
0.73,3,"g",2
0.764,3,"g",3
0.725,3,"g",4
0.13,3,"g",5
0.13,3,"g",6
0.132,3,"g",7
0.352,3,"g",8
0.131,3,"g",9
0.2,3,"g",10
0.124,3,"g",11
0.122,3,"g",12
0.121,3,"h",1
0.125,3,"h",2
0.123,3,"h",3
0.122,3,"h",4
0.128,3,"h",5
0.126,3,"h",6
0.127,3,"h",7
0.254,3,"h",8
0.271,3,"h",9
0.268,3,"h",10
0.121,3,"h",11
0.115,3,"h",12
